Company Name,Ticker,P/E (Trailing 12 Months),Price/Book,Last Close,Shares Outstanding ,Market Cap ,Sector,Industry,Exchange,Last Qtr EPS,Annual Sales,Net Income ,Cash Ratio,Book Value,Long Term Debt ,Current Liabilities ,Current Assets ,Dividend ,5 Yr Hist. Div. Growth %,12 Mo Trailing EPS,S&P 500 - ETF
"Waters Corporation","WAT","27.8","7.42","208.47","79.53","16580.24","Computer and Technology","Instruments - Scientific","NYSE","2.51","2309.08","20.30999","1.69874","28.09","1701.95996","1997.77001","4197.81982","0","","7.5","YES"
"Walgreens Boots Alliance, Inc.","WBA","13.33","2.6","70.36","990.67","69703.47","Retail-Wholesale","Retail - Pharmacies and Drug Stores","NSDQ","1.28","118214","4078",".23324","27.02","12684","18547","19753","1.52499","7.1269","5.28","YES"
"Western Digital Corporation","WDC","7.68","2.35","89.14","297.56","26524.5","Computer and Technology","Computer- Storage Devices","NSDQ","3.95","19093","397","1.55778","37.88","12918","4344","11056","2","17.033","12.83","YES"
"WEC Energy Group, Inc.","WEC","19.7","2.06","61.85","315.58","19518.31","Utilities","Utility - Electric Power","NYSE",".71","7648.5","1204.90002",".08368","29.98","8746.5996","3869.30004","2213.5","2.07999","10.26099","3.14","YES"
"Wells Fargo & Company","WFC","14.5","1.58","59.17","4891","289400.47","Finance","Banks - Major Regional","NYSE",".97","97741","22183",".25717","37.36","225020","1509862","1354245","1.53999","7.48369","4.08","YES"
"Whirlpool Corporation","WHR","12.44","2.36","171.44","70.69","12118.75","Consumer Discretionary","Household Appliances","NYSE","4.1","21253","350",".26772","72.54","4392","8505","7930","4.3","16.371","13.78","YES"
"Willis Towers Watson Public Limited Company","WLTW","18.84","2.06","159.96","132.14","21137.12","Finance","Insurance - Brokerage","NSDQ","2.21","8202","568","","77.56","4450","1796","3276","2.11999","-10.70401","8.49","YES"
"Waste Management, Inc.","WM","26.55","6.14","85.49","433.67","37074.79","Business Services","Waste Removal Services","NYSE",".85","14485","1949",".04721","13.93","8752","3262","2624","1.7","3.8608","3.22","YES"
"Williams Companies, Inc. (The)","WMB","46.35","1.6","28.74","827.33","23777.38","Oils-Energy","Oil and Gas - Production and Pipelines","NYSE",".2","8031","2174","","18","22624","2949","1462","1.2","-6.88041",".62","YES"
"Wal-Mart Stores, Inc.","WMT","21.06","3.4","92.89","2962.38","275175.66","Retail-Wholesale","Retail - Supermarkets","NYSE","1.33","500343","13643","","27.28","42018","66928","57689","2.03999","2.94539","4.41","YES"
"WestRock Company","WRK","21.89","1.48","66.11","255.13","16866.45","Basic Materials","Paper and Related Products","NYSE",".87","14859.7","708.20001",".26805","44.66","5946.10009","3009.80004","4490.8999","1.6","6.813","3.02","YES"
"Western Union Company (The)","WU","11.31","","20.24","459.3","9296.21","Business Services","Financial Transaction Services","NYSE",".41","5524.3","-557.09998","","-1.07","3033.60009","6159.3999","5027.10009",".69999","9.2559","1.79","YES"
"Weyerhaeuser Company","WY","30.78","3.01","35.4","756.1","26765.87","Construction","Building Products - Wood","NYSE",".31","7196","582",".79141","11.77","6232","1165","1715","1.25","11.769","1.15","YES"
"Wyndham Worldwide Corp","WYN","19.32","13.51","119.59","99.72","11925.87","Consumer Discretionary","Hotels and Motels","NYSE","1.49","5076","871","","8.85","5283","2032","1812","2.31999","18.263","6.19","YES"
"Wynn Resorts, Limited","WYNN","31.3","43.05","167.13","102.78","17177.96","Consumer Discretionary","Gaming","NSDQ","1.4","6306.37","747.17999","","3.88","10125.3496","1416.30004","2990.3601","2","-20.88401","5.34","YES"
"Cimarex Energy Co","XEC","21.13","3.66","98.7","95.26","9402.26","Oils-Energy","Oil and Gas - Exploration and Production - United States","NYSE","1.47","1918.25","494.32","","26.96","1486.92004","679.57","935.63",".31999","-13.99601","4.67","YES"
"Xcel Energy Inc.","XEL","19.38","1.99","44.77","507.76","22732.55","Utilities","Utility - Electric Power","NSDQ",".42","11404","1148","","22.53","14194.71972","3247.04003","2842.08007","1.44","6.4491","2.31","YES"
"XL Group Ltd.","XL","",".97","43.45","256.03","11124.68","Finance","Insurance - Property and Casualty","NYSE",".45","11328.16","-560.39002","","44.76","3220.76","42614.35937","3435.94995",".87999","11.75699","-2.09","YES"
"Xilinx, Inc.","XLNX","26.84","7.55","70.05","254.82","17849.79","Computer and Technology","Semiconductors - Programmable Logic","NSDQ",".76","2349.33","622.51","3.79983","9.28","995.23999","897.19","3880.1101","1.32","9.06529","2.61","YES"
"Exxon Mobil Corporation","XOM","21.9","1.74","77.53","4237.11","328502.81","Oils-Energy","Oil and Gas - Integrated - International","NYSE",".88","244363","19710","","44.65","28932","47638","41416","3.05999","5.59609","3.54","YES"
"DENTSPLY SIRONA Inc.","XRAY","22.98","1.77","57.67","229.68","13245.82","Medical","Medical - Dental Supplies","NSDQ",".7","3745.3","429.89999","","32.63","1511.09997","771","1882.59997",".34999","8.3135","2.51","YES"
"Xerox Corporation","XRX","9.08","1.48","30.87","254.61","7859.9","Business Services","Business - Services","NYSE","1.04","10265","195",".55782","20.79","5235","2741","5230",".8125","-2.5458","3.4","YES"
